xs,acc_av,acc_std,time_av,time_std
1,50.0,0.0,0.3358848748,0.015028766528308176
100,100.0,0.0,1.0171465041,0.11602527273603246
200,100.0,0.0,0.8003416333,0.15109687311224154
400,100.0,0.0,1.0944211875,0.13217524619093418
800,100.0,0.0,1.4247696708,0.1305424251444595
1500,100.0,0.0,1.9392523917,0.05369301316621093
3000,100.0,0.0,2.5640482793,0.1373656687902911
6000,100.0,0.0,3.6738930918,0.038848256713826454
12000,100.0,0.0,4.4081449916,0.33543887253028215
25000,100.0,0.0,4.115231425,0.04600762046823225
50000,100.0,0.0,4.5862747916,0.07211000171498844
100000,100.0,0.0,4.9012878999,0.03673039637401907
200000,100.0,0.0,4.7464308167,0.14172085756024314
400000,100.0,0.0,5.2236428876000005,0.1525404307621805
800000,100.0,0.0,4.84842505,0.10313510590060138
1500000,100.0,0.0,4.665735225100001,0.1652361609426825
3000000,100.0,0.0,4.4492744166,0.07374305575525401
