xs,acc_av,acc_std,time_av,time_std
1,100.0,0.0,0.2914160998,0.00608703031930077
100,100.0,0.0,5.762593091599999,0.4124556589959127
200,100.0,0.0,12.370400995699999,0.9189280169075262
400,100.0,0.0,34.2431743499,0.7142108879754644
800,49.905,0.10965856099730681,60.0,0.0
1500,49.96,0.05567764362830034,60.0,0.0
3000,50.0,0.0,60.0,0.0
6000,50.005,0.004999999999999716,60.0,0.0
12000,50.0,0.0,60.0,0.0
25000,50.005,0.004999999999999716,60.0,0.0
50000,50.0,0.0,60.0,0.0
100000,50.0,0.0,60.0,0.0
200000,50.0,0.0,60.0,0.0
400000,50.0,0.0,60.0,0.0
800000,50.0,0.0,60.0,0.0
1500000,50.0,0.0,60.0,0.0
3000000,50.0,0.0,60.0,0.0
