xs,acc_av,acc_std,time_av,time_std
10,100.0,0.0,2.3302874627000003,0.007125860906923723
1000,100.0,0.0,8.8535565208,0.11406689210851895
2000,100.0,0.0,15.0194121875,0.09490595266699355
3000,100.0,0.0,21.4507058458,0.20155729151845395
4000,100.0,0.0,27.6745439789,0.3313083060390906
5000,100.0,0.0,35.3407251873,0.5162363129250321
6000,100.0,0.0,44.828193725,0.28086273988321114
7000,95.2,4.8,50.9588159041,1.8909150918549604
8000,95.25,4.75,54.6026381374,0.9891400793479329
9000,56.61,4.821876075646168,59.9367865875,0.06321341250000004
10000,56.75,4.806442435823911,59.4805389833,0.5194610167
