xs,acc_av,acc_std,time_av,time_std
5,100.0,0.0,11.275889833099999,0.06621272757957428
10,100.0,0.0,12.0189758416,0.08792549583505488
15,100.0,0.0,12.533483383399998,0.08984462843430738
20,100.0,0.0,12.514098525,0.044062268208517004
25,100.0,0.0,12.7023848625,0.06035639343944981
30,100.0,0.0,12.7791507711,0.07319893314842424
35,100.0,0.0,12.8378035416,0.04465395289805532
40,100.0,0.0,12.9737383584,0.056179543766528776
45,100.0,0.0,13.2042921208,0.06659520772998027
50,100.0,0.0,13.7463091295,0.20914073991178567
55,100.0,0.0,13.5214495,0.09596112743740552
60,100.0,0.0,13.6713006499,0.15191620314140453
65,100.0,0.0,13.774732604,0.07067388412736667
70,100.0,0.0,13.8707316752,0.07622371505022779
75,100.0,0.0,14.0601705001,0.09058326398266191
80,100.0,0.0,14.2778826666,0.05920382714265414
85,100.0,0.0,14.4130523875,0.054152048225783775
90,100.0,0.0,15.2992172794,0.4309865422514031
95,100.0,0.0,18.750745571,1.4725529017377146
100,100.0,0.0,14.8592286415,0.20967156010177235
