xs,acc_av,acc_std,time_av,time_std
1,100.0,0.0,2.2068230124,0.07005065878013832
100,76.04355769230769,0.2624418707749043,60.0,0.0
200,51.0057734204793,0.04985550092839756,60.0,0.0
400,50.354084158415844,0.06376141053785628,60.0,0.0
800,50.07494402985075,0.03182046397783071,60.0,0.0
1500,50.05996497669949,0.025596658564794168,60.0,0.0
3000,54.90835944704361,3.272451592758268,60.0,0.0
6000,55.124194869033666,3.416587819989875,60.0,0.0
12000,70.12333985589738,3.360160872978785,60.0,0.0
25000,50.0,0.0,60.0,0.0
50000,50.0,0.0,60.0,0.0
100000,50.0,0.0,60.0,0.0
200000,50.0,0.0,60.0,0.0
400000,50.0,0.0,60.0,0.0
800000,50.0,0.0,60.0,0.0
1500000,50.0,0.0,60.0,0.0
3000000,50.0,0.0,60.0,0.0
